admin2_name,admin2_code,admin1_name,admin1_code,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,main_primary_language,main_primary_language_share,main_secondary_language,main_secondary_language_share,Nepali,Maithili,Bhojpuri,Tharu,Tamang,Newar,Magar,Avadhi,Bantawa,Gurung,Limbu,Bajjika,Urdu,Rajbanshi,Sherpa,Hindi,Chamling,Santhali,Chepang,Danuwar,Kurux,Sunuwar,Bengali,Marwari,Majhi,Thangmi,Kulung,Dhimal,Angika,Yakkha,Thulung,Sampang,Bhujel,Darai,Khaling,Kumal,Thakali,Chantyal,Tibetan,Dumi,Jirel,Wambule,Puma,Hyolmo,Nachering,Dura,Meche,Mahasu Pahari,Lapcha,Bote,Bahing,Koi,Raji,Yamphu,Ghale,Chhulung,Lohorung,English,Mewahang,Sanskrit,Tilung,Jerung,Dungmali,Oriya,Hariyanvi,Magahi,Chhintang,Lhomi,Tajpuriya,Khas,Athpariya,Gangai,Achhami,Kham,Dotyali,Walungge,Baitadeli,Bajhangi,Lhowa,Dolpo,Dailekhi,Bajureli,Darchuleli,Other,Nepali_primary,Maithili_primary,Bhojpuri_primary,Tharu_primary,Tamang_primary,Newar_primary,Magar_primary,Avadhi_primary,Bantawa_primary,Gurung_primary,Limbu_primary,Bajjika_primary,Urdu_primary,Rajbanshi_primary,Sherpa_primary,Hindi_primary,Chamling_primary,Santhali_primary,Chepang_primary,Danuwar_primary,Kurux_primary,Sunuwar_primary,Bengali_primary,Marwari_primary,Majhi_primary,Thangmi_primary,Kulung_primary,Dhimal_primary,Angika_primary,Yakkha_primary,Thulung_primary,Sampang_primary,Bhujel_primary,Darai_primary,Khaling_primary,Kumal_primary,Thakali_primary,Chantyal_primary,Tibetan_primary,Dumi_primary,Jirel_primary,Wambule_primary,Puma_primary,Hyolmo_primary,Nachering_primary,Dura_primary,Meche_primary,Mahasu Pahari_primary,Lapcha_primary,Bote_primary,Bahing_primary,Raji_primary,Yamphu_primary,Ghale_primary,Chhulung_primary,Lohorung_primary,Mewahang_primary,Tilung_primary,Jerung_primary,Dungmali_primary,Oriya_primary,Magahi_primary,Chhintang_primary,Lhomi_primary,Tajpuriya_primary,Athpariya_primary,Gangai_primary,Achhami_primary,Kham_primary,Dotyali_primary,Walungge_primary,Baitadeli_primary,Bajhangi_primary,Lhowa_primary,Dolpo_primary,Dailekhi_primary,Bajureli_primary,Darchuleli_primary,Other_primary,Nepali_secondary,Maithili_secondary,Bhojpuri_secondary,Tharu_secondary,Tamang_secondary,Newar_secondary,Magar_secondary,Avadhi_secondary,Bantawa_secondary,Gurung_secondary,Limbu_secondary,Bajjika_secondary,Urdu_secondary,Rajbanshi_secondary,Sherpa_secondary,Hindi_secondary,Chamling_secondary,Danuwar_secondary,Angika_secondary,English_secondary,Jerung_secondary,Magahi_secondary,Chhintang_secondary,Lhomi_secondary,Other_secondary,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
Siraha,524003016,Sagarmatha,524003,Nepal,NP,11,Maithili,0.896,Maithili,0.859,Nepali,0.427,0.471,0.896,0.000,0.029,0.009,0.002,0.007,0.000,0.000,0.000,0.000,0.000,0.037,0.000,0.000,0.050,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.044,0.859,0.000,0.027,0.009,0.002,0.007,0.000,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.427,0.037,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,638097,309290,328764,0.539,0.656,0.430,Yes,Medium,
Dhanusa,524004017,Janakpur,524004,Nepal,NP,12,Maithili,0.889,Maithili,0.862,Nepali,0.364,0.406,0.889,0.000,0.000,0.012,0.002,0.009,0.003,0.004,0.000,0.000,0.000,0.034,0.000,0.000,0.096,0.000,0.000,0.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.042,0.862,0.000,0.000,0.012,0.002,0.009,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.364,0.027,0.000,0.000,0.000,0.000,0.000,0.003,0.004,0.000,0.000,0.000,0.010,0.000,0.000,0.095,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.002,741245,370666,370536,0.543,0.643,0.444,Yes,Medium,
Mahottari,524004018,Janakpur,524004,Nepal,NP,9,Maithili,0.841,Maithili,0.804,Hindi,0.347,0.289,0.841,0.002,0.011,0.015,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.086,0.000,0.000,0.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.057,0.804,0.002,0.011,0.015,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.074,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.232,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.347,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.004,624705,308041,316620,0.505,0.608,0.405,Yes,Medium,
Sarlahi,524004019,Janakpur,524004,Nepal,NP,13,Bajjika,0.531,Bajjika,0.485,Hindi,0.352,0.326,0.253,0.019,0.021,0.050,0.003,0.016,0.000,0.000,0.000,0.000,0.531,0.066,0.000,0.000,0.356,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.118,0.213,0.011,0.021,0.048,0.003,0.014,0.000,0.000,0.000,0.000,0.485,0.061,0.000,0.000,0.004,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.208,0.040,0.008,0.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.046,0.005,0.000,0.000,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,769548,388220,381286,0.502,0.596,0.406,Yes,Medium,
Sindhuli,524004020,Janakpur,524004,Nepal,NP,10,Nepali,0.883,Nepali,0.475,Nepali,0.408,0.883,0.016,0.000,0.000,0.278,0.025,0.116,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.015,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.475,0.016,0.000,0.000,0.269,0.025,0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.000,0.015,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.408,0.000,0.000,0.000,0.009,0.000,0.009,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.014,298045,141447,156585,0.638,0.732,0.554,Yes,Medium,
Ramechhap,524004021,Janakpur,524004,Nepal,NP,9,Nepali,0.950,Nepali,0.603,Nepali,0.347,0.950,0.000,0.000,0.000,0.189,0.068,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.018,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.603,0.000,0.000,0.000,0.183,0.068,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.018,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.347,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,203122,91642,111478,0.658,0.765,0.572,Yes,Medium,
Dolakha,524004022,Janakpur,524004,Nepal,NP,8,Nepali,0.978,Nepali,0.652,Nepali,0.326,0.978,0.000,0.000,0.000,0.158,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.652,0.000,0.000,0.000,0.158,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.326,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.011,186483,87041,99442,0.662,0.763,0.575,Yes,Medium,
Sindhupalchok,524005023,Bagmati,524005,Nepal,NP,7,Nepali,0.946,Nepali,0.535,Nepali,0.411,0.946,0.000,0.000,0.000,0.334,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.535,0.000,0.000,0.000,0.325,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.411,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,286615,137243,149360,0.620,0.701,0.546,Yes,Medium,
Kavrepalanchok,524005024,Bagmati,524005,Nepal,NP,7,Nepali,0.938,Nepali,0.506,Nepali,0.432,0.938,0.000,0.000,0.000,0.341,0.117,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.506,0.000,0.000,0.000,0.335,0.114,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.432,0.000,0.000,0.000,0.006,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.003,375497,176809,198666,0.723,0.817,0.639,Yes,Medium,
Lalitpur,524005025,Bagmati,524005,Nepal,NP,13,Nepali,0.919,Nepali,0.477,Nepali,0.442,0.919,0.025,0.009,0.006,0.115,0.309,0.013,0.000,0.000,0.006,0.005,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.477,0.025,0.009,0.006,0.115,0.304,0.013,0.000,0.000,0.006,0.005,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.442,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.010,442634,222554,220059,0.840,0.915,0.765,Yes,Medium,
Bhaktapur,524005026,Bagmati,524005,Nepal,NP,8,Nepali,0.937,Nepali,0.458,Nepali,0.479,0.937,0.009,0.004,0.000,0.080,0.432,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.458,0.009,0.004,0.000,0.080,0.428,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.479,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.005,299534,149819,149693,0.830,0.918,0.742,Yes,Medium,
Kathmandu,524005027,Bagmati,524005,Nepal,NP,22,Nepali,0.956,Nepali,0.623,Nepali,0.333,0.956,0.021,0.012,0.005,0.086,0.186,0.013,0.000,0.000,0.013,0.003,0.000,0.003,0.000,0.010,0.016,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.623,0.020,0.011,0.005,0.083,0.180,0.012,0.000,0.000,0.012,0.003,0.000,0.003,0.000,0.010,0.011,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.333,0.001,0.001,0.000,0.003,0.006,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.003,1644699,847537,797509,0.877,0.937,0.814,Yes,Medium,
Nuwakot,524005028,Bagmati,524005,Nepal,NP,7,Nepali,0.927,Nepali,0.546,Nepali,0.381,0.927,0.000,0.000,0.000,0.405,0.019,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.546,0.000,0.000,0.000,0.401,0.019,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.381,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,279398,133493,145894,0.636,0.723,0.557,Yes,Medium,
Rasuwa,524005029,Bagmati,524005,Nepal,NP,2,Nepali,0.901,Tamang,0.682,Nepali,0.632,0.901,0.000,0.000,0.000,0.682,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.269,0.000,0.000,0.000,0.682,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.632,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43165,21125,22040,0.562,0.617,0.510,Yes,Medium,
